elevation,slope,aspect,distance_to_roads,lst,ndvi,precip,fire_label
1327.0,89.998924,166.78726,0.0014958791,20.71387792990661,0.47842562577569414,120.92198989013002,1
1730.0,89.99932,108.04782,0.0021695138,19.226084868382486,0.47064020451694744,120.19454450657172,1
2344.0,89.99896,117.606674,0.013082124,17.01160096614875,0.6549352273452186,213.73506447843116,1
1553.0,89.99879,92.72631,0.0016666667,19.62486453531447,0.5305781422710548,118.8845452041743,1
1431.0,89.995,131.82018,0.0055555557,19.4381395140922,0.5816236405502827,3.405820863240957,1
1560.0,89.99878,217.19981,0.0023733343,19.656898460151368,0.48428883528431255,2.946709890434334,1
1433.0,89.997185,120.52971,0.0,19.720485670792,0.49656542461694386,3.0911748507551384,1
1378.0,89.99911,245.95578,0.003621779,14.773211759049277,0.6630116517387773,61.52316682533086,0
1704.0,89.998436,322.00128,0.0019444445,19.762387118859017,0.6141063424856298,28.154808038810387,0
1208.0,89.99884,249.26129,0.0053359373,17.982454895907672,0.5660291789464653,20.779791864938076,0
1157.0,89.99921,145.61966,0.0016896563,18.39706621019187,0.5653970670392223,97.16150535415905,0
1490.0,89.998276,24.829346,0.00055555557,16.438525249215186,0.48469898994145205,95.773373094111,0
1519.0,89.99923,179.30972,0.00062113,12.963416982515808,0.5815487538665183,66.9786666849787,1
5648.0,89.999596,204.62357,0.08745589,-17.192679948657705,-0.044793815104887225,37.21362133705443,0
208.0,89.982346,326.30994,0.036143146,29.537037142444223,0.5874945411523098,100.91935262054885,1
206.0,89.97878,180.0,0.040148262,29.835062887199364,0.5758189722255302,100.90077940990076,1
1749.0,89.99923,39.09386,0.0060921423,23.672944904148174,0.5821958082763488,122.14788565980001,0
2155.0,89.99958,359.04834,0.0027498598,24.654358264708552,0.6628598143104567,137.4587499889659,0
2194.0,89.999344,185.88599,0.015952282,21.764196643291772,0.5409363659682864,163.1798466412323,1
2023.0,89.999214,246.43117,0.0021695138,21.590244971473695,0.6592840464533174,120.59965667714823,0
1737.0,89.99874,198.43495,0.013356461,25.086362452477772,0.6278084199060194,2.6941721046827976,1
2248.0,89.99874,1.701355,0.010137937,20.092349442643634,0.6191834284340231,23.61395458480915,0
3720.0,89.99935,160.2673,0.012060164,12.445375880588397,0.4241523975028634,60.15621548451908,1
