elevation,slope,aspect,lst,ndvi,precip,fire_label
1322.0,89.99879,186.58194,26.5787342298128,0.5157114963410853,90.17129720629319,1
1521.0,89.99909,306.8699,21.810148731004706,0.6755502370064455,111.5929507024168,1
1915.0,89.999016,245.40988,22.183178438946367,0.5445639872178822,101.87198546404112,1
1062.0,89.998955,249.77515,27.2473000640833,0.4752170846139114,94.24919562968445,1
1319.0,89.997406,183.50354,29.05959711386967,0.4458076973385425,85.77217886383562,1
1536.0,89.99882,335.8209,25.165014252003843,0.40116960748089153,91.67703043612569,1
1611.0,89.99893,315.68207,23.867871679947655,0.5642218707153523,70.88805470490654,1
1450.0,89.99878,232.80019,27.43341335524273,0.42402929445464743,48.69470106030758,1
1114.0,89.998886,4.0141754,28.96473956458446,0.4790273171845474,43.5566789727207,1
920.0,89.99878,174.50768,28.634175850134174,0.3854062259556294,44.432128115163664,1
1546.0,89.99749,122.125,28.805300756459363,0.4652213592179343,48.47114637510895,1
203.0,89.97503,168.69006,30.637905951413273,0.4543195608069984,15.865780383547676,1
1840.0,89.99917,316.59113,22.66026448165657,0.5639798499526945,100.72715269007365,0
4553.0,89.999214,143.55556,7.847068941351499,0.02217785522065933,101.41862172130806,0
1150.0,89.9987,117.34988,26.79457817857093,0.4012465375374576,61.57518687752124,0
1148.0,89.99934,352.80078,27.294583715251957,0.4805023109546254,41.22971246531931,0
2926.0,89.999565,93.15794,18.349093932534814,0.40835163482583464,90.81035207335302,0
1646.0,89.99931,175.36453,26.41372557870718,0.36597932289039936,62.73875716505566,0
289.0,89.99371,110.22486,31.771030645733255,0.5051554966999043,19.458504934316604,0
862.0,89.99825,156.5953,27.32643329049452,0.4593410834492474,31.319250242132235,0
251.0,89.97749,45.0,29.46535331879143,0.5368961442577433,22.886926355323595,0
1438.0,89.99828,207.25533,37.33005964185533,0.5072410814435855,22.91437106292442,1
1170.0,89.99756,184.39871,26.757719762653892,0.7527069385134341,125.08728449102804,1
1323.0,89.99931,195.9031,27.59083806498031,0.7058984438229807,121.48097669490744,1
1619.0,89.999115,123.69006,28.01974907057001,0.6840354299607388,118.21987935538567,1
1736.0,89.99582,156.8014,34.46540480089311,0.465490705096511,32.09808604506904,1
1081.0,89.99815,240.46121,37.50046135671692,0.4536480334246033,24.380320104525595,1
1751.0,89.99876,265.51538,32.51746033464073,0.5220258942346987,49.064739831605245,1
1774.0,89.99885,4.159645,33.481794810940144,0.48261623494743305,52.63663104415245,1
509.0,89.99771,162.21611,38.337573080646095,0.4308659686719207,23.714459933369213,1
1501.0,89.9992,174.93639,33.034908008484734,0.5586513873525946,55.9995125609209,1
979.0,89.99865,74.63838,36.70973230754454,0.5625968679688428,28.095006147847478,1
1289.0,89.99901,349.2157,32.05046499122026,0.5262024094471183,47.79642571154435,1
766.0,89.998634,45.0,37.57024936979066,0.5011146085393398,26.833995346826548,1
1467.0,89.99665,356.9872,30.55369813244116,0.5080178856206337,47.03610522384307,1
652.0,89.99879,116.075356,38.18105233135558,0.553279346115744,26.277734481279012,1
543.0,89.99924,150.67952,38.320450984996704,0.5561393954472383,26.202331037619324,1
573.0,89.999016,333.43494,39.698527108262255,0.435541645709567,25.019176646181375,1
1633.0,89.99829,78.38851,32.043612419317554,0.5656588778811549,40.109989244794804,1
1069.0,89.99917,228.70844,34.88556302696895,0.6214899291317374,40.47962769492522,1
1209.0,89.999306,120.64066,34.74980987364927,0.516913523862406,40.68214205434066,1
1047.0,89.99901,26.365414,35.65648822793471,0.4897233499474577,40.22546036908898,1
809.0,89.9979,122.90524,35.85533406380966,0.5825035433073997,40.42394217338304,1
978.0,89.99903,176.06982,35.97949315223879,0.5427123897924527,38.57765424371942,1
848.0,89.997604,289.7989,35.824723357678295,0.4302866862558552,39.13537301181844,1
955.0,89.9981,169.69516,35.306610496594864,0.4201210029459873,40.39547577887765,1
812.0,89.99906,111.64444,35.90688372695151,0.4434557986723344,38.56772809246976,1
736.0,89.99829,281.61148,35.75110840498319,0.5440214577754348,37.78562628814156,1
616.0,89.97503,168.69006,35.10591050402796,0.5595586205842052,37.82680663040032,1
673.0,89.99665,356.9872,36.29447197207932,0.627214904425907,36.583196571144576,1
827.0,89.99876,347.5926,35.88779161939459,0.6154512250916053,36.861214558050506,1
660.0,89.99746,241.38954,36.606092301557325,0.5639731169798629,35.85281202291021,1
847.0,89.99817,281.63364,35.8050800257946,0.6277010083108765,36.9372496503308,1
961.0,89.99853,47.815556,35.875804665648474,0.542486652717127,37.22552653390996,1
935.0,89.99797,308.5169,36.07996714174173,0.5135940398630818,35.95952578942802,1
923.0,89.99822,22.988716,36.03555767897983,0.6113474584397502,36.2862247118458,1
678.0,89.99867,346.10883,35.55590780700727,0.48650350342743587,37.494764795991976,1
733.0,89.99904,342.38742,35.48877886618155,0.5851205356631253,34.49226068778297,1
907.0,89.99862,9.360191,35.572064692580156,0.5923999609933869,34.871771487221686,1
977.0,89.99786,256.42957,35.610890712008185,0.6172795341157793,35.391988840842544,1
942.0,89.99853,263.3675,36.73055755667638,0.4317560822216141,36.1001725610539,1
808.0,89.99866,114.94391,36.942655357567475,0.492267658784753,36.352402020454946,1
636.0,89.998215,101.30994,37.22877321612271,0.47481052439954213,35.91086715429863,1
577.0,89.99896,111.97451,37.27732867005224,0.4871700362313079,35.93897966324246,1
827.0,89.99892,313.61963,36.45387894213075,0.5246075988929898,36.258255082750935,1
